time, density
0,0.0005794658378549228
60,0.0012642891007743772
120,0.11036190275509666
180,0.16583258705157247
240,0.20549965758836855
300,0.23578991729442134
360,0.2627614181109414
420,0.2842016541115735
480,0.30364009903597955
540,0.31933835537059474
600,0.3358267923931939
660,0.35078754675235735
720,0.3654849075488595
780,0.3779697624190065
840,0.39171890638992785
900,0.4046778696728652
960,0.4164252225675604
1020,0.42869936258757835
1080,0.4381815308433862
1140,0.4481378075119844
1200,0.4586208713059053
1260,0.4691039350998262
1320,0.479376284043618
1380,0.4890164884370226
1440,0.49834062055523365
1500,0.5066111784227993
1560,0.5171469209292525
1620,0.5262076594848022
1680,0.5352683980403519
1740,0.5444344940209661
1800,0.5522836221882738
1860,0.5602907864931781
1920,0.5693515250487278
1980,0.5775694042037612
2040,0.5857346046462625
2100,0.5949007006268767
2160,0.602697150081652
2220,0.6118105673497339
2280,0.6202918400674288
2340,0.630037401885898
2400,0.6380445661908023
2460,0.6470526260338197
2520,0.6559026497392404
2580,0.6653848179950482
2640,0.6748143075383237
2700,0.6814518253173892
2760,0.6889848812095032
2820,0.6967286519517463
2880,0.7037349207185376
2940,0.7112679766106517
3000,0.7197492493283464
3060,0.7278617710583153
3120,0.7366591160512037
3180,0.7442975293683822
3240,0.7527788020860771
3300,0.761312753516304
3360,0.769635990096402
3420,0.7781172628140969
3480,0.7875994310699046
3540,0.7960280250750672
3600,0.8048253700679555
3660,0.8126744982352632
3720,0.8211557709529579
3780,0.828320075857346
3840,0.8369593847126376
3900,0.8435442237791708
3960,0.850708528683559
4020,0.8572933677500922
4080,0.8632987409787705
4140,0.8681978612442712
4200,0.8733076963599009
4260,0.8777853869251435
4320,0.8824211136279829
4380,0.8868988041932255
4440,0.8913764947584681
4500,0.8948532897855976
4560,0.8980666912500659
4620,0.901069377864405
4680,0.9040193857662119
4740,0.9066533213928252
4800,0.9090238634567771
4860,0.911973871358584
4920,0.9139229837222779
4980,0.9165569193488912
5040,0.9190854975504399
5100,0.921508718326924
5160,0.9237739029658115
5220,0.9258283727545699
5280,0.9275667702681346
5340,0.9294105252067639
5400,0.9316230311331191
5460,0.9333614286466839
5520,0.9352051835853131
5580,0.9372596533740716
5640,0.9393141231628299
5700,0.9406837696886688
5760,0.94210609492704
5820,0.943686456303008
5880,0.9454775325291049
5940,0.9468471790549439
6000,0.948269504293315
6060,0.9501659379444767
6120,0.9516409418953801
6180,0.9526945161460254
6240,0.9539061265342675
6300,0.9554338091977032
6360,0.956382026023284
6420,0.9576989938365906
6480,0.9590686403624296
6540,0.9602802507506717
6600,0.9614391824263815
6660,0.9625981141020914
6720,0.9638097244903334
6780,0.9647579413159142
6840,0.9655481220038983
6900,0.966496338829479
6960,0.9679186640678502
7020,0.968866880893431
7080,0.9700784912816731
7140,0.9711847442448507
7200,0.9723963546330928
7260,0.9737133224463994
7320,0.974819575409577
7380,0.9758204709476901
7440,0.9765052942106095
7500,0.9768213664858031
7560,0.9777169045988516
7620,0.9782436917241742
7680,0.9788231575620292
7740,0.9794553021124164
7800,0.9801401253753358
7860,0.9811936996259811
7920,0.9816678080387715
7980,0.9821419164515619
8040,0.9826687035768846
8100,0.983142811989675
8160,0.9836695991149976
8220,0.9842490649528526
8280,0.9846704946531106
8340,0.9855133540536269
8400,0.9864615708792077
8460,0.9870410367170627
8520,0.9873571089922563
8580,0.9876205025549175
8640,0.9879892535426434
8700,0.9885160406679661
8760,0.9891481852183532
8820,0.9895696149186114
8880,0.9903071168940631
8940,0.9905705104567244
9000,0.990886582731918
9060,0.9915714059948375
9120,0.9917821208449665
9180,0.9918874782700311
9240,0.9926776589580151
9300,0.9929937312332087
9360,0.9933624822209345
9420,0.9937312332086604
9480,0.9942053416214508
9540,0.9943106990465153
9600,0.9946794500342412
9660,0.9949955223094348
9720,0.9952062371595638
9780,0.9955749881472897
9840,0.9957330242848865
9900,0.9961017752726123
9960,0.9962598114102091
10020,0.9967339198229995
10080,0.9972080282357899
10140,0.9973660643733867
10200,0.9976294579360481
10260,0.9979982089237739
10320,0.9982089237739029
10380,0.9985249960490966
10440,0.9987357108992256
10500,0.9988937470368224
10560,0.9990517831744192
10620,0.9991571405994838
10680,0.9993678554496128
10740,0.9996839277248064
10800,1.0
